desc,id,name,other.comment,other.created_by,other.creation_date,other.deprecated,other.disjointWith,other.hasAlternativeId,other.namespace,other.onProperty,other.someValuesFrom,other.subset,other.xref,relations.can_be,relations.is_a,id_type,id_number
,DOID:3125,multiple endocrine neoplasia,,,,[true],,,[disease_ontology],,,,,,,DOID,3125
"A rectal disease that involves inflammation of the rectal mucosa, which results from infection, inflammatory bowel disease, or radiation. Sexually transmitted pathogens (Neisseria gonorrhoeae, Chlamydia trachomatis, herpes simplex virus 1 and 2, Treponema pallidum) and enteric pathogens (Campylobacter, Shigella, Salmonella) are involved in the disease. Symptoms are rectal discomfort and bleeding.",DOID:3127,proctitis,,,,,,,[disease_ontology],,,,"[ICD10CM:K62.89, MESH:D011349, NCI:C38011, SNOMEDCT_US_2016_03_01:155806004, SNOMEDCT_US_2016_03_01:197229007, SNOMEDCT_US_2016_03_01:266534007, SNOMEDCT_US_2016_03_01:3951002, UMLS_CUI:C0033246]",,[DOID:1285],DOID,3127
A biliary tract cancer that is located_in the gallbladder.,DOID:3121,gallbladder cancer,,,,,,"[DOID:8090, DOID:8157]",[disease_ontology],,,[http://purl.obolibrary.org/obo/doid#TopNodes_DOcancerslim],"[ICD10CM:C23, ICD9CM:156.0, MESH:D005706, NCI:C3048, NCI:C35676, NCI:C7481, SNOMEDCT_US_2016_03_01:126854002, SNOMEDCT_US_2016_03_01:154472004, SNOMEDCT_US_2016_03_01:187782001, SNOMEDCT_US_2016_03_01:254602009, SNOMEDCT_US_2016_03_01:269550003, SNOMEDCT_US_2016_03_01:363353009, SNOMEDCT_US_2016_03_01:93810008, UMLS_CUI:C0016978, UMLS_CUI:C0153452, UMLS_CUI:C0278806]","[DOID:12298, DOID:4058, DOID:4948, DOID:5150, DOID:8135, DOID:8167]","[DOID:0060262, DOID:4607]",DOID,3121
,DOID:3120,gallbladder papillomatosis,,,,,,,[disease_ontology],,,,"[NCI:C7130, UMLS_CUI:C1333754]",,"[DOID:0050625, DOID:0060262, DOID:2615]",DOID,3120
,DOID:3122,gastric outlet obstruction,,,,,,,[disease_ontology],,,,"[MESH:D017219, SNOMEDCT_US_2016_03_01:196759006, SNOMEDCT_US_2016_03_01:244815007, UMLS_CUI:C0162651]",[DOID:12639],[DOID:76],DOID,3122
,DOID:3128,anus disease,,,,,,"[DOID:11479, DOID:11993]",[disease_ontology],,,,"[MESH:D001004, NCI:C26695, SNOMEDCT_US_2016_03_01:32110003, UMLS_CUI:C0003462]","[DOID:11014, DOID:11374, DOID:14110, DOID:5134, DOID:8170]",[DOID:1285],DOID,3128
,DOID:2838,stress polycythemia,,,,,,,[disease_ontology],,,,"[ICD10CM:D75.1, NCI:C27174, SNOMEDCT_US_2016_03_01:191371001, SNOMEDCT_US_2016_03_01:36874002, UMLS_CUI:C0541719]",,[DOID:2834],DOID,2838
,DOID:2839,erythropoietin polycythemia,,,,,,,[disease_ontology],,,,"[ICD10CM:D75.1, NCI:C35434, SNOMEDCT_US_2016_03_01:367328005, SNOMEDCT_US_2016_03_01:43918003, UMLS_CUI:C0391869]",,[DOID:2834],DOID,2839
"An opportunistic mycosis that has_material_basis_in Galactomyces geotrichum, results_in systemic infection in immunocompromised people.",DOID:2832,geotrichosis,,,,,,,[disease_ontology],,,,"[ICD10CM:B48.3, MESH:D005847, SNOMEDCT_US_2016_03_01:13969006, SNOMEDCT_US_2016_03_01:187105008, UMLS_CUI:C0017455]",,[DOID:2473],DOID,2832
,DOID:2833,dehydration polycythemia,,,,,,,[disease_ontology],,,,"[NCI:C27310, UMLS_CUI:C0856815]",,[DOID:2834],DOID,2833
